学科,年级,册次,章节,课程名称,钩子确认版,标签确认版,学名确认版,url确认版,压图后封面url二次确认,备注问题,去内容标签新封面url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,数量间的乘除关系,解决连续两问的实际问题,一步接一步！,【二年级】★【认知启蒙】,连续两问问题,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_32b0d43ba550fe2a18a617220d9135bc.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/2e37a8454d1d4ebba7105b2f8a2e5159.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,时间在哪里,我与时间的故事,我的一天真精彩！,【二年级】★【认知启蒙】,我与时间的故事,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_430b8c8ac5702463a8cc217985ff0e90.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/ca3fcfc46eb040f8afb1843cc2caae59.jpg,标签字压底图主体,https://cdn-private.sm.cn/souti-imgs-lasting/8cf47211d2444e64ad6ce0884f73e2a0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,时间在哪里,我的时间小书,时间小书翻翻看！,【二年级】★【认知启蒙】,我的时间小书,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_95c2cd012061eca71a06ebe21f1c80e5.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/5f883a0462314c54b87314d373f88085.jpg,标签字压底图主体,https://cdn-private.sm.cn/souti-imgs-lasting/60c3c273037a4c9e9a0380451e18b854.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,时间在哪里,时间都去哪儿了,时间去哪了,【二年级】★【认知启蒙】,时间去哪了,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_1e8279b193288df34d9555cd1968f6b1.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/da2cc3dfa03a4bffb24f0040ef822f7e.jpg,标签字压底图主体,https://cdn-private.sm.cn/souti-imgs-lasting/24550fdf111e4dd7ab85efedf649a3c9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,时间在哪里,认识时间,时钟在说话！,【二年级】★【认知启蒙】,认识时间,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_22577bf6dbe26e251d2b337b1fdb1094.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/d855299b9e17419da806392d40ec1109.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,有余数的除法,余数和除数的关系,余数比除数小！,【二年级】★【近期要学】,余数除数关系,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_9215051067ea004b1561b8a9f4060795.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/697b8a1ab62e4c128a9c1486260274dc.jpg,标签字压底图主体,https://cdn-private.sm.cn/souti-imgs-lasting/3f2236aeb443461495c6dc3b71e2d1db.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,有余数的除法,有余数除法的实际应用,剩下的怎么分？,【二年级】★【近期要学】,余数除法应用,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_164fd2703e47d8277a01a9b5f6f2011d.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/a57584609fa0409dae38ea016e4789ab.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,有余数的除法,有余数除法的试商,除不尽？试试看！,【二年级】★【近期要学】,余数除法试商,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_0e13cf4fcd1bad73613f76771719b879.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/248dd7e4c1da408fb43a4d068576b21e.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,有余数的除法,竖式计算有余数的除法,竖式里的小秘密！,【二年级】★【近期要学】,竖式余数除法,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_65d54e1ff1217e159885752048f113df.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/8f4248913b514e8a9c5304302c59fdba.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,二年级,下册,有余数的除法,解决简单的周期问题,规律在哪里？,【二年级】★【近期要学】,简单周期问题,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_2bfac5f1ee12502943063e01cb57395c.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/c2a7852231ca4a0e827528a7cb505ca5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
